"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
1682817,"Data Analyst: regional physical security","Anywhere","Full-time","124500.0","2023-05-27","Blackstone Consulting, Inc."
821092,"Data Analyst, Support Operations","Anywhere","Full-time","124000.0","2023-02-17","Cloudflare"
970857,"Senior Clinical Data Manager/Analyst II","Anywhere","Full-time","123249.5","2023-06-19","Exact Sciences Corporation"
631753,"Data Analytics Manager","Anywhere","Full-time","123000.0","2023-07-30","Get It Recruit - Information Technology"
596565,"Lead Analyst - Data Analytics - Remote","Anywhere","Full-time","122769.0","2023-08-31","ICF"
238020,"Business Data Analyst with SQL (Strong)","Anywhere","Full-time","122500.0","2023-06-19","Innova Solutions"
841943,"Financial Data Analyst","Anywhere","Full-time","122500.0","2023-07-01","Get It Recruit - Finance"
1015777,"Decision Science Analyst - Consumer Lending","Anywhere","Full-time","122500.0","2023-01-20","Analytic Recruiting Inc."
298860,"Sales Ops Data Analyst (Austin, TX or Remote)","Anywhere","Full-time","122000.0","2023-08-01","Cloudflare"
426033,"Sales Ops Data Analyst (Remote)","Anywhere","Full-time","122000.0","2023-08-01","CloudFlare"
587198,"Data Architect","Anywhere","Full-time","120000.0","2023-07-18","Motion Recruitment"
236172,"Data Analytics Analyst","Anywhere","Full-time","120000.0","2023-11-04","Get It Recruit - Information Technology"
946582,"Senior Financial and Data Analyst | Hybrid Schedule","Anywhere","Full-time","120000.0","2023-09-18","Jobot"
1611348,"Lifeforce: Data Analyst (Remote)","Anywhere","Full-time","120000.0","2023-04-17","M13"
1191992,"Business Data Analyst","Anywhere","Contractor","120000.0","2023-04-04","Robert Half"
999820,"Business Intelligence Data Analyst","Anywhere","Full-time","120000.0","2023-11-29","LAI"
1132443,"Risk Data Analyst","Anywhere","Full-time","119908.0","2023-06-20","US Development Finance Corporation (formerly Overseas Private Investment Corporation)"
446029,"Data Analyst - Predictive Modeling","Anywhere","Full-time","119200.0","2023-06-09","CVS Health"
876656,"Data Analyst","Anywhere","Full-time","119200.0","2023-03-25","CVS Health"
945180,"Data Analyst","Anywhere","Full-time","117713.0","2023-11-13","Get It Recruit - Healthcare"
685438,"Data Analyst","Anywhere","Full-time","117500.0","2023-09-12","Jobot"
1124418,"Lead Data Analyst","Anywhere","Full-time","117500.0","2023-12-28","Get It Recruit - Information Technology"
436153,"Lead Data Analyst / SQL Developer","Anywhere","Full-time","117500.0","2023-12-27","Robert Half"
131427,"Data Analyst","Anywhere","Full-time","117000.0","2023-11-12","Get It Recruit - Information Technology"
16358,"BI Data Analyst IV","Anywhere","Full-time","115791.5","2023-01-06","Kern Health Systems"
1788827,"Data Analyst","Anywhere","Full-time","115791.5","2023-04-14","Kern Health Systems"
1574716,"BI Data Analyst IV","Anywhere","Full-time","115791.5","2023-01-05","Kern Health Systems"
1139755,"Data Analyst","Anywhere","Full-time","115000.0","2023-06-01","Lighthouse Professional Services"
728112,"Data Analyst- REMOTE","Anywhere","Full-time","115000.0","2023-05-08","General Dynamics Information Technology"
357990,"Data Analyst","Anywhere","Full-time","115000.0","2023-01-19","Robert Half"
198747,"Business Data Analyst","Anywhere","Contractor","115000.0","2023-02-07","Robert Half"
156483,"Data/Information Architect","Anywhere","Full-time","115000.0","2023-07-06","Robert Half"
1403108,"Data Analyst","Anywhere","Full-time","115000.0","2023-12-24","Get It Recruit - Information Technology"
24351,"Data Analyst","Anywhere","Full-time","115000.0","2023-04-21","ManyPets"
1772547,"QNXT/TriZetto Data Analyst","Anywhere","Full-time","115000.0","2023-01-11","Medasource"
945577,"Behavioral Health Data Analyst","Anywhere","Full-time","114956.5","2023-10-24","ICF"
467403,"Healthcare Analytics Expert","Anywhere","Full-time","114948.0","2023-08-13","Get It Recruit - Healthcare"
